obs_id,sex,length_obs_s,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb,bin,tank,time,fish_ID,cue
C02V2,male,47.37,0,0,20.746,0,0,1.75,18.964,0.999,13.136,0,12.255,0,1,ST2C14,after,ST2C14M,control
C02V3,female,66.73,NA,NA,NA,0,2.499,6.556,40.151,2.745,11.889,0,5.002,0,2,ST2C14,after,ST2C14F,control
C02V3,female,58.33,NA,NA,NA,0,1.5,22.501,0.497,17.599,0,10.502,6.745,0,3,ST2C14,after,ST2C14F,control
C02V3,female,58.33,NA,NA,NA,6.754,0.499,6.996,0,17.467,1.245,22.744,8.248,0,4,ST2C14,after,ST2C14F,control
C02V3,female,58.33,NA,NA,NA,3.503,0,5.746,0,10.25,0,37.953,3.154,0,5,ST2C14,after,ST2C14F,control
C02V3,female,58.33,NA,NA,NA,0,0,29.244,0,13.163,0,13.753,0,0,6,ST2C14,after,ST2C14F,control
C02V3,female,66.67,NA,NA,NA,1.003,0,14.362,0,26.732,0,24.995,0,0,7,ST2C14,after,ST2C14F,control
C02V3,female,58.33,NA,NA,NA,1.465,0,6.994,3.496,4.997,4.495,14.498,22.967,2,8,ST2C14,after,ST2C14F,control
C02V3,female,55.83,NA,NA,NA,0,3.997,1.502,20.967,1.999,8.989,1.25,20.248,0,9,ST2C14,after,ST2C14F,control
C02V3,male,66.73,0.253,1,12.863,0,0,8.748,35.012,5.247,11.992,0,5.247,0,2,ST2C14,after,ST2C14M,control
C02V3,male,58.33,0,0,8.499,0,0,18.746,1.155,13.399,1.747,11.035,11.739,0,3,ST2C14,after,ST2C14M,control
C02V3,male,58.33,3.755,4,7.969,0,0,8.25,1.251,19.103,6.745,15.145,7.495,0,4,ST2C14,after,ST2C14M,control
C02V3,male,58.33,4.498,4,5.249,0,0,5.497,0,14.418,0,34.49,3.653,0,5,ST2C14,after,ST2C14M,control
C02V3,male,58.33,0.5,1,15.538,0,0,26.75,0,15.279,0,15.994,0,0,6,ST2C14,after,ST2C14M,control
C02V3,male,66.67,6.504,4,19.213,0,0,19.317,0,24.972,0,21.505,0,0,7,ST2C14,after,ST2C14M,control
