obs_id,length_obs_s,sex,sig_s,sig_nb,chasing_s,feeding_s,frozen_s,Q1_s,Q2_s,Q3_s,Q4_s,Q5_s,Q6_s,dash_nb
C06V2005,66.670,male,0,0,48.358,0,0,18.553,3.249,27.986,0,16.493,0,0
C06V2006,58.330,male,0,0,27.966,0,0,25.637,15.500,12.998,3.913,0,0,0
C06V2007,58.330,male,1.998,2,17.886,0,0,3.999,7.500,7.493,17.396,6.252,15.414,0
C06V2008,58.330,male,5.999,2,35.248,0.750,0,0.253,5.993,2.998,15.747,10.998,22.067,0
C06V2009,58.330,male,8.248,2,15.676,0,0,5.997,0,12.959,1.747,12.498,24.646,0
C06V2010,15.770,male,0,0,3.999,0,0,0,0,3.153,0,12.218,0,0
C07V1000,66.730,male,2.000,1,42.714,0,2.499,0,19.500,0,13.704,0,33.152,1
C07V1001,58.330,male,11.924,3,43.241,0,0,23.000,34.866,0,0,0,0,0
C07V1002,58.330,male,8.505,2,26.419,0,0,2.997,22.912,0,18.148,0,13.999,0
C07V1003,58.330,male,0,0,1.251,3.006,0,14.496,24.655,0,2.747,0,16.168,0
C07V1004,58.330,male,0.751,1,1.500,14.498,0,0,0,0,3.749,4.999,49.331,0
C07V1005,66.670,male,11.747,3,1.249,0,0,4.001,19.116,0,6.749,0,36.395,0
C07V1006,58.330,male,1.246,1,0,0,0,0.997,41.570,0,14.997,0,0.497,0
C07V1007,58.330,male,3.249,1,4.251,24.975,0,0,3.150,0,7.001,0,47.717,0
C07V1008,58.330,male,1.002,1,0,12.249,0,0,11.421,0,19.744,2.751,24.147,0
C07V1009,58.330,male,0,0,0,7.419,0,0,31.399,0,12.246,0,14.428,0
C07V1010,43.170,male,0,0,0,19.753,0,0,0,0,8.748,0,34.092,0
C07V2000,66.730,male,3.495,2,4.756,0,5.247,10.254,3.999,11.495,35.767,0,4.747,1
C07V2001,58.330,male,0.501,1,2.751,20.172,0,0,0,0,9.154,22.748,26.171,1
C07V2002,58.330,male,2.503,3,2.752,9.511,0,0,0,5.753,0,52.318,0,1
C07V2003,58.330,male,3.251,1,25.161,0,1.246,5.749,5.749,2.751,2.497,34.557,6.745,4
C07V2004,58.330,male,9.253,4,9.496,0,0,0,0,7.746,0,32.369,17.744,0
C07V2005,66.670,male,1.502,1,0,19.360,0,1.750,5.752,16.490,5.244,34.515,2.499,0
C07V2006,58.330,male,0,0,18.246,2.503,0,14.306,0.621,14.496,0.999,25.651,1.998,0
C07V2007,58.330,male,7.604,5,9.750,0,0,29.999,5.649,17.700,0,4.502,0,0
C07V2008,58.330,male,1.251,1,7.501,0.753,0,16.421,0,23.144,0,13.243,5.252,0
C07V2009,58.330,male,0,0,0,13.748,0,5.899,0,10.240,0,41.716,0,0
C07V2010,36.930,male,0,0,7.504,4.000,0,9.247,0,10.363,0,16.899,0,0
C08V1000,66.730,male,7.499,4,6.215,0,0,43.901,19.863,2.498,0,0,0,1
