ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s,int_diff_s,int_lat_diff_s,tight_diff_s,tight_lat_diff_s,lse_diff_s,lse_lat_diff_s
AC5M3,ac,m,AC5,left,49.2039,7.53394,94.1075,101.941,8.10065,5.06707,60.4048,100.308,12.501,3.50028,41.77,93.7742,94.1075,101.941,49.2039,7.53394,60.4048,100.308,8.10065,5.06707,41.77,93.7742,12.501,3.50028,44.903600000000004,-94.40706,52.30415,-95.24093,29.269000000000005,-90.27391999999999
AC6F1,ac,f,AC6,left,24.3219,84.8291,151.152,13.0201,13.2845,86.6797,15.6969,32.3851,9.94685,82.8794,18.3405,12.0618,151.152,13.0201,24.3219,84.8291,15.6969,32.3851,13.2845,86.6797,18.3405,12.0618,9.94685,82.8794,126.83009999999999,71.809,2.4124,54.294599999999996,8.39365,70.8176
AC6F3,ac,f,AC6,left,0,300,136.011,44.6369,0,300,107.809,43.9035,35.4362,1.96682,7.40059,42.6034,136.011,44.6369,0,300,107.809,43.9035,0,300,7.40059,42.6034,35.4362,1.96682,136.011,255.3631,107.809,256.0965,-28.03561,-40.63658
AC6M1,ac,m,AC6,left,8.63402,8.96738,157.379,26.8688,12.6343,6.70054,36.7029,46.5704,8.46734,3.56695,15.5679,25.102,157.379,26.8688,8.63402,8.96738,36.7029,46.5704,12.6343,6.70054,15.5679,25.102,8.46734,3.56695,148.74498,-17.90142,24.0686,-39.86986,7.10056,-21.535050000000002
AC7F1,ac,f,AC7,left,9.86746,10.4675,165.88,37.203,9.1674,8.86738,33.9694,36.4029,4.20034,7.66728,34.7694,35.0361,165.88,37.203,9.86746,10.4675,33.9694,36.4029,9.1674,8.86738,34.7694,35.0361,4.20034,7.66728,156.01254,-26.735500000000002,24.802,-27.535520000000002,30.569059999999997,-27.36882
AC7F2,ac,f,AC7,left,22.4685,19.5349,236.586,63.4717,2.60021,17.7348,6.03382,57.2046,9.10073,14.2678,2.66688,54.271,236.586,63.4717,22.4685,19.5349,6.03382,57.2046,2.60021,17.7348,2.66688,54.271,9.10073,14.2678,214.1175,-43.9368,3.4336100000000003,-39.4698,-6.4338500000000005,-40.0032
AC7F4,ac,f,AC7,left,114.843,17.1014,24.3686,159.146,22.0351,16.5013,13.8011,156.946,37.5697,11.4676,11.1009,152.846,24.3686,159.146,114.843,17.1014,13.8011,156.946,22.0351,16.5013,11.1009,152.846,37.5697,11.4676,-90.4744,-142.04459999999997,-8.234,-140.4447,-26.468799999999998,-141.3784
AC7F5,ac,f,AC7,left,10.0008,83.3733,30.1357,45.8703,14.3678,86.2402,22.1018,42.27,32.1026,80.5731,35.2028,35.0028,30.1357,45.8703,10.0008,83.3733,22.1018,42.27,14.3678,86.2402,35.2028,35.0028,32.1026,80.5731,20.134900000000002,37.503,7.734,43.9702,3.100200000000001,45.570299999999996
AC7F6,ac,f,AC7,left,0,300,72.6058,89.1071,0,300,66.3386,87.0736,0,300,43.2035,82.94,72.6058,89.1071,0,300,66.3386,87.0736,0,300,43.2035,82.94,0,300,72.6058,210.8929,66.3386,212.9264,43.2035,217.06
AC7M3,ac,m,AC7,left,180.648,13.9678,7.46726,0.066672,23.2019,13.4344,1.26677,6.13382,20.935,12.1676,13.3677,7.30058,7.46726,0.066672,180.648,13.9678,1.26677,6.13382,23.2019,13.4344,13.3677,7.30058,20.935,12.1676,-173.18074,13.901128,-21.935129999999997,7.30058,-7.5672999999999995,4.86702
C2M1,c,m,C2,left,86.3402,114.609,72.3391,13.1344,29.269,183.681,18.3015,11.8676,13.9011,159.846,18.5348,9.73411,72.3391,13.1344,86.3402,114.609,18.3015,11.8676,29.269,183.681,18.5348,9.73411,13.9011,159.846,-14.001099999999994,101.4746,-10.967499999999998,171.8134,4.633700000000001,150.11189000000002
C2M2,c,m,C2,left,10.3675,7.93397,143.978,35.2362,10.0008,6.3005,38.6031,32.0359,14.2011,1.16676,22.2351,30.8358,143.978,35.2362,10.3675,7.93397,38.6031,32.0359,10.0008,6.3005,22.2351,30.8358,14.2011,1.16676,133.6105,-27.302229999999994,28.6023,-25.7354,8.033999999999999,-29.66904
C3F2,c,f,C3,left,212.084,24.5353,8.30066,0.766728,18.6015,83.94,7.63394,2.66688,20.2683,13.6011,8.53402,8.13398,8.30066,0.766728,212.084,24.5353,7.63394,2.66688,18.6015,83.94,8.53402,8.13398,20.2683,13.6011,-203.78334,23.768572,-10.967560000000002,81.27311999999999,-11.73428,5.467120000000001
C3F3,c,f,C3,left,0,300,276.622,10.8342,0,300,10.9009,9.93413,0,300,1.90015,8.43401,276.622,10.8342,0,300,10.9009,9.93413,0,300,1.90015,8.43401,0,300,276.622,289.1658,10.9009,290.06587,1.90015,291.56599
C3M3,c,m,C3,left,149.945,25.2354,3.7003,16.8347,37.9697,24.7686,5.76713,14.7345,33.0026,0.766728,10.7009,11.6676,3.7003,16.8347,149.945,25.2354,5.76713,14.7345,37.9697,24.7686,10.7009,11.6676,33.0026,0.766728,-146.2447,8.400699999999997,-32.20257,10.034099999999999,-22.3017,-10.900872
C3M4,c,m,C3,left,5.8338,213.584,197.082,7.76729,4.46702,200.883,22.6018,6.80054,10.2008,197.382,17.7348,5.03374,197.082,7.76729,5.8338,213.584,22.6018,6.80054,4.46702,200.883,17.7348,5.03374,10.2008,197.382,191.2482,205.81671,18.13478,194.08246,7.534000000000001,192.34826
C4F2,c,f,C4,left,228.112,5.40108,1.06688,108.222,18.3037,4.43422,1.96706,107.722,17.5702,2.93392,4.43422,106.688,1.06688,108.222,228.112,5.40108,1.96706,107.722,18.3037,4.43422,4.43422,106.688,17.5702,2.93392,-227.04512,-102.82092,-16.33664,-103.28778,-13.13598,-103.75408
C4F4,c,f,C4,left,148.579,19.7016,0.800064,151.245,20.4016,19.0015,0.433368,150.612,28.1022,17.5681,6.90055,104.342,0.800064,151.245,148.579,19.7016,0.433368,150.612,20.4016,19.0015,6.90055,104.342,28.1022,17.5681,-147.77893600000002,-131.54340000000002,-19.968231999999997,-131.6105,-21.20165,-86.7739
C4F5,c,f,C4,left,9.06739,166.013,97.7078,11.8343,5.0004,165.38,30.6691,11.2676,14.2011,145.645,27.5022,9.10073,97.7078,11.8343,9.06739,166.013,30.6691,11.2676,5.0004,165.38,27.5022,9.10073,14.2011,145.645,88.64041,154.1787,25.6687,154.1124,13.301099999999998,136.54427
C4M2,c,m,C4,left,93.6408,17.6681,1.50012,267.121,50.8374,15.9679,1.46678,208.717,52.2375,14.5345,9.00072,2.66688,1.50012,267.121,93.6408,17.6681,1.46678,208.717,50.8374,15.9679,9.00072,2.66688,52.2375,14.5345,-92.14068,-249.45289999999997,-49.37062,-192.7491,-43.236779999999996,11.867619999999999
C4M3,c,m,C4,left,22.2018,4.40035,175.481,23.4019,6.93389,2.53354,33.3027,22.8352,6.06715,0.800064,27.3689,21.9351,175.481,23.4019,22.2018,4.40035,33.3027,22.8352,6.93389,2.53354,27.3689,21.9351,6.06715,0.800064,153.2792,-19.00155,26.368810000000003,-20.301660000000002,21.30175,-21.135036
C5F1,c,f,C5,left,0,300,282.056,0.566712,0,300,13.4011,60.8715,0,300,2.0335,194.216,282.056,0.566712,0,300,13.4011,60.8715,0,300,2.0335,194.216,0,300,282.056,299.433288,13.4011,239.1285,2.0335,105.78399999999999
C5F4,c,f,C5,left,70.7872,46.7135,28.5416,89.6593,33.5431,46.08,4.73471,89.0258,24.7072,45.1464,8.06901,85.7249,28.5416,89.6593,70.7872,46.7135,4.73471,89.0258,33.5431,46.08,8.06901,85.7249,24.7072,45.1464,-42.245599999999996,-42.9458,-28.808390000000003,-42.945800000000006,-16.63819,-40.578500000000005
C5M1,c,m,C5,left,0.50004,228.052,156.046,10.6342,0.566712,227.618,32.4026,4.20034,4.26701,175.114,41.67,1.03342,156.046,10.6342,0.50004,228.052,32.4026,4.20034,0.566712,227.618,41.67,1.03342,4.26701,175.114,155.54595999999998,217.4178,31.835888,223.41765999999998,37.40299,174.08058
C5M3,c,m,C5,left,11.6676,197.149,170.147,1.6668,4.90039,196.616,28.969,33.036,10.8675,194.849,24.902,1.00008,170.147,1.6668,11.6676,197.149,28.969,33.036,4.90039,196.616,24.902,1.00008,10.8675,194.849,158.4794,195.4822,24.06861,163.58,14.034500000000001,193.84892
