ID,cue,sex,tank,shoal_side,int_L_s,int_L_lat_s,int_R_s,int_R_lat_s,tight_L_s,tight_L_lat_s,tight_R_s,tight_r_lat_s,lse_L_s,lse_L_lat_s,lse_R_s,lse_R_lat_s,int_shoal_s,int_shoal_lat_s,int_emp_s,int_emp_lat_s,tight_shoal_s,tight_shoal_lat_s,tight_emp_s,tight_emp_lat_s,lse_shoal_s,lse_shoal_lat_s,lse_emp_s,lse_emp_lat_s
AC5F2,alarm,f,AC5,right,252.854,14.0345,0,-,26.1688,2.76689,0,-,11.8009,4.70038,0,-,252.854,14.0345,0,-,26.1688,2.76689,0,-,11.8009,4.70038,0,-
AC5F3,alarm,f,AC5,right,44.7702,9.26741,157.846,71.039,3.43361,8.334,20.6016,69.1722,3.23359,57.3046,26.0021,64.3385,44.7702,9.26741,157.846,71.039,3.43361,8.334,20.6016,69.1722,3.23359,57.3046,26.0021,64.3385
AC5M2,alarm,m,AC5,right,81.7732,45.0369,48.4039,0.966744,9.60077,44.4036,24.2353,3.46694,30.1357,43.3035,23.4352,8.16732,81.7732,45.0369,48.4039,0.966744,9.60077,44.4036,24.2353,3.46694,30.1357,43.3035,23.4352,8.16732
AC5M4,alarm,m,AC5,right,192.982,52.5709,5.13374,42.1034,40.4032,64.7718,1.33344,47.4705,8.16732,50.9707,3.60029,38.5698,192.982,52.5709,5.13374,42.1034,40.4032,64.7718,1.33344,47.4705,8.16732,50.9707,3.60029,38.5698
AC6F2,alarm,f,AC6,right,198.449,11.0676,11.5676,103.508,20.9017,10.3008,4.50036,100.041,10.7675,8.96738,7.63394,98.6746,198.449,11.0676,11.5676,103.508,20.9017,10.3008,4.50036,100.041,10.7675,8.96738,7.63394,98.6746
AC6M2,alarm,m,AC6,right,158.179,17.5347,21.0684,129.81,20.0016,16.368,9.56743,128.644,20.1683,15.2346,12.801,126.443,158.179,17.5347,21.0684,129.81,20.0016,16.368,9.56743,128.644,20.1683,15.2346,12.801,126.443
AC6M3,alarm,m,AC6,right,196.482,23.0685,0,-,35.1695,17.7681,0,-,49.704,1.86682,0,-,196.482,23.0685,0,-,35.1695,17.7681,0,-,49.704,1.86682,0,-
AC7F3,alarm,f,AC7,right,204.216,34.9695,1.96682,289.49,27.1355,33.2693,2.46686,286.456,15.9346,23.9686,2.9669,284.623,204.216,34.9695,1.96682,289.49,27.1355,33.2693,2.46686,286.456,15.9346,23.9686,2.9669,284.623
AC7F3,alarm,f,AC7,right,214.317,33.6694,1.56679,289.69,20.0016,32.4693,1.96682,288.656,16.068,24.6353,4.76705,284.389,214.317,33.6694,1.56679,289.69,20.0016,32.4693,1.96682,288.656,16.068,24.6353,4.76705,284.389
AC7M1,alarm,m,AC7,right,3.63362,2.1335,198.216,23.7019,5.86714,3.36694,21.7017,22.4685,11.7343,0.900072,16.0013,21.2684,3.63362,2.1335,198.216,23.7019,5.86714,3.36694,21.7017,22.4685,11.7343,0.900072,16.0013,21.2684
AC7M2,alarm,m,AC7,right,125.677,16.168,5.70046,63.5384,50.404,14.2345,2.20018,62.005,50.8707,11.2009,3.23359,40.8033,125.677,16.168,5.70046,63.5384,50.404,14.2345,2.20018,62.005,50.8707,11.2009,3.23359,40.8033
C2F1,control,f,C2,right,61.6716,138.311,103.808,4.36702,6.86722,137.578,33.136,3.56695,20.4016,136.011,29.3357,2.26685,61.6716,138.311,103.808,4.36702,6.86722,137.578,33.136,3.56695,20.4016,136.011,29.3357,2.26685
C2F2,control,f,C2,right,248.52,22.3351,0,-,26.3354,21.3684,0,-,1.06675,20.1016,0,-,248.52,22.3351,0,-,26.3354,21.3684,0,-,1.06675,20.1016,0,-
C3F1,control,f,C3,right,0,-,165.913,3.23359,1.73347,219.384,35.1028,1.53346,6.16716,217.651,37.2363,70.9723,0,-,165.913,3.23359,1.73347,219.384,35.1028,1.53346,6.16716,217.651,37.2363,70.9723
C3M1,control,m,C3,right,0,-,28.0022,90.1405,0,-,24.1019,87.7404,0,-,38.2697,86.5069,0,-,28.0022,90.1405,0,-,24.1019,87.7404,0,-,38.2697,86.5069
C3M2,control,m,C3,right,142.978,10.3342,0,-,53.7043,6.60053,2.60021,218.818,23.8686,5.03374,13.4011,158.913,142.978,10.3342,0,-,53.7043,6.60053,2.60021,218.818,23.8686,5.03374,13.4011,158.913
C4F1,control,f,C4,right,0,-,159.113,37.9364,0,-,73.4059,35.6695,0,-,20.4016,31.4025,0,-,159.113,37.9364,0,-,73.4059,35.6695,0,-,20.4016,31.4025
C4F3,control,f,C4,right,7.9673,285.656,206.983,1.70014,6.2005,116.909,19.4016,8.46734,5.43377,115.743,17.1014,26.2021,7.9673,285.656,206.983,1.70014,6.2005,116.909,19.4016,8.46734,5.43377,115.743,17.1014,26.2021
C4M1,control,m,C4,right,0,-,225.351,12.1343,1.83348,5.86714,8.76737,116.509,9.00072,3.76697,15.0345,10.8675,0,-,225.351,12.1343,1.83348,5.86714,8.76737,116.509,9.00072,3.76697,15.0345,10.8675
C5F2,control,f,C5,right,0,-,199.165,100.899,0,-,0.33333,100.332,0,-,0.66666,99.4323,0,-,199.165,100.899,0,-,0.33333,100.332,0,-,0.66666,99.4323
C5F3,control,f,C5,right,56.0712,0,8.76737,75.7061,5.96714,2.56687,3.83364,75.206,60.8382,1.86682,35.2028,67.7388,56.0712,0,8.76737,75.7061,5.96714,2.56687,3.83364,75.206,60.8382,1.86682,35.2028,67.7388
C5F5,control,f,C5,right,1.99998,14.4332,183.631,58.5327,4.29996,16.6665,33.133,57.7994,1.43332,13.2999,20.3331,56.0661,1.99998,14.4332,183.631,58.5327,4.29996,16.6665,33.133,57.7994,1.43332,13.2999,20.3331,56.0661
C5M2,control,m,C5,right,180.214,83.14,0,-,42.9701,9.20074,0,-,51.8375,8.53402,0,-,180.214,83.14,0,-,42.9701,9.20074,0,-,51.8375,8.53402,0,-
C6F1,control,f,C6,right,165.655,80.3324,30.3023,20.0583,30.3684,65.0326,3.46972,19.3974,18.34,61.5959,7.83166,18.5382,165.655,80.3324,30.3023,20.0583,30.3684,65.0326,3.46972,19.3974,18.34,61.5959,7.83166,18.5382
C6F2,control,f,C6,right,276.256,10.8388,0,-,4.72544,9.74827,0,-,2.21402,8.36038,0,-,276.256,10.8388,0,-,4.72544,9.74827,0,-,2.21402,8.36038,0,-
C6M1,control,m,C6,right,180.552,104.716,45.7659,26.1378,3.17222,276.215,18.7029,28.1204,13.6141,17.8768,5.41922,24.75,180.552,104.716,45.7659,26.1378,3.17222,276.215,18.7029,28.1204,13.6141,17.8768,5.41922,24.75
C6M2,control,m,C6,right,93.8148,112.518,60.1089,25.8412,22.8671,111.758,9.05433,25.1803,26.436,88.9571,22.4706,17.3817,93.8148,112.518,60.1089,25.8412,22.8671,111.758,9.05433,25.1803,26.436,88.9571,22.4706,17.3817
C7F1,control,f,C7,right,193.515,3.83364,13.0677,232.852,20.1349,59.6048,7.8673,69.6056,14.2011,2.93357,13.0677,66.2386,193.515,3.83364,13.0677,232.852,20.1349,59.6048,7.8673,69.6056,14.2011,2.93357,13.0677,66.2386
C7F3,control,f,C7,right,251.52,32.836,8.03398,23.5352,0.866736,32.2692,0,-,4.33368,11.1342,5.20042,21.6684,251.52,32.836,8.03398,23.5352,0.866736,32.2692,0,-,4.33368,11.1342,5.20042,21.6684
C7M1,control,m,C7,right,200.716,2.33352,0.533376,284.389,30.0357,100.908,0.400032,283.823,24.5686,1.60013,4.73371,194.216,200.716,2.33352,0.533376,284.389,30.0357,100.908,0.400032,283.823,24.5686,1.60013,4.73371,194.216
C7M4,control,m,C7,right,46.4093,67.8469,24.1048,12.1024,12.0024,65.4131,15.5031,11.669,48.3763,63.446,16.7367,10.9355,46.4093,67.8469,24.1048,12.1024,12.0024,65.4131,15.5031,11.669,48.3763,63.446,16.7367,10.9355
